family,comparison,delta,d,p,p_holm,p_BH,sig_BH
SIAT-ablation (§4.11),1_norm_contribution [SVM] full72_global→full72_persubj,6.9,1.48,0.0,0.0,0.0,Yes
SIAT-ablation (§4.11),1_norm_contribution [RF] full72_global→full72_persubj,5.1,1.04,0.0,0.0,0.0,Yes
SIAT-ablation (§4.11),1_norm_contribution [CNN] full72_global→full72_persubj,7.2,0.88,0.0,0.0,0.0,Yes
SIAT-ablation (§4.11),6_end_to_end [SVM] full72_global→rfe36_persubj,7.2,1.58,0.0,0.0,0.0,Yes
new-experiment (§4.16),"Per-subj vs CORAL, SVM",5.3,1.13,0.0,0.0,0.0,Yes
new-experiment (§4.16),"Per-subj vs CORAL, RF",2.7,0.95,0.0,0.0,0.0,Yes
July-2026 second pass,LDA per-subj vs CNN per-subj,-6.63,-1.06,0.0,0.0,0.0,Yes
July-2026 second pass,LDA per-subj vs RF per-subj,-8.58,-1.84,0.0,0.0,0.0,Yes
new-experiment (§4.16),"Causal calib-100 vs transductive, SVM",-3.2,-1.03,0.0,0.0,0.0,Yes
new-experiment (§4.16),"Causal calib-100 vs transductive, RF",-6.6,-1.43,0.0,0.0,0.0,Yes
July-2026 second pass,LDA per-subj vs SVM per-subj,-8.93,-1.78,0.0,0.0,0.0,Yes
new-experiment (§4.16),Calibration (3 ep) K=20 vs K=0,3.2,0.78,0.0,0.0,0.0,Yes
new-experiment (§4.16),"Causal calib-100 vs global, SVM",3.7,0.79,0.0,0.0,0.0,Yes
SIAT-ablation (§4.11),6_end_to_end [CNN] full72_global→gaussian_persubj,7.8,0.97,0.0,0.0,0.0,Yes
July-2026 second pass,"STDUP-class F1 balanced vs imbalanced, SVM",-0.39,-0.7,0.0,0.0,0.0,Yes
July-2026 second pass,LDA per-subj vs LDA global,5.95,1.21,0.0,0.0,0.0,Yes
G4 ResNet-SE calibration,"ResNet-SE calibration K=20 vs K=0 (3-epoch, pooled 5-draw, n=200)",4.28,0.762,3.556489145867538e-19,0.0,0.0,Yes
G3 causal AdaBN (resnet_se),Causal AdaBN running vs full-session AdaBN,-19.97,-3.177,1.8189894035458565e-12,0.0,0.0,Yes
